title,date,url
Deputado Rafael Brito comemora aprovação de projeto para criação de vagas em escolas em tempo integral,5 de julho de 2023,https://www.mdb.org.br/deputado-rafael-brito-comemora-aprovacao-de-projeto-para-criacao-de-vagas-em-escolas-em-tempo-integral/
Deputado Acácio participa do lançamento do Programa Acolhe Cutias,29 de junho de 2023,https://www.mdb.org.br/deputado-acacio-participa-do-lancamento-do-programa-acolhe-cutias/
Deputado Anibelli Neto propõe a criação da Frente Parlamentar na Assembleia Legislativa do Paraná para o fortalecimento da COP-30,29 de junho de 2023,https://www.mdb.org.br/deputado-anibelli-neto-propoe-a-criacao-da-frente-parlamentar-na-assembleia-legislativa-do-parana-para-o-fortalecimento-da-cop-30/
Deputado Augusto Puppio pede urgência para PL sobre “Teste do Ceuzinho”,28 de junho de 2023,https://www.mdb.org.br/deputado-augusto-puppio-pede-urgencia-para-pl-sobre-teste-do-ceuzinho/
"Conheça mais sobre o projeto Casa Arco-Íris, de autoria da nossa Coordenadora Municipal da Diversidade, Leo Áquilla",28 de junho de 2023,https://www.mdb.org.br/conheca-mais-sobre-o-projeto-casa-arco-iris-de-autoria-da-nossa-coordenadora-municipal-de-da-diversidade-leo-aquilla/
MDB moderniza ação de núcleos e órgãos de apoio partidário,28 de junho de 2023,https://www.mdb.org.br/mdb-moderniza-acao-de-nucleos-e-orgaos-de-apoio-partidario/
Deputado Rafael Brito apresenta emenda ao PL que garante piso salarial para todos os servidores da educação,19 de junho de 2023,https://www.mdb.org.br/deputado-rafael-brito-apresenta-emenda-ao-pl-que-garante-piso-salarial-para-todos-os-servidores-da-educacao/
"Com emenda do deputado Acácio, MP que altera o programa Mais Médicos é aprovada na Câmara",15 de junho de 2023,https://www.mdb.org.br/com-emenda-do-deputado-acacio-mp-que-altera-o-programa-mais-medicos-e-aprovada-na-camara/
Jornal dos Núcleos – edição junho 2023,15 de junho de 2023,https://www.mdb.org.br/jornal-dos-nucleos-edicao-junho-2023/
Deputada Iza Arruda representa o Brasil em conferência internacional sobre os Direitos das Pessoas com Deficiência na ONU em Nova York,13 de junho de 2023,https://www.mdb.org.br/deputada-iza-arruda-representa-o-brasil-em-conferencia-internacional-sobre-os-direitos-das-pessoas-com-deficiencia-na-onu-em-nova-york/
No MDB Mulher a sua voz é a nossa voz,13 de junho de 2023,https://www.mdb.org.br/no-mdb-mulher-a-sua-voz-e-a-nossa-voz/
Deputado Acácio Favacho destina recursos para uso no Programa de Atenção Primária à Saúde em municípios amapaenses,13 de junho de 2023,https://www.mdb.org.br/deputado-acacio-favacho-destina-recursos-para-uso-no-programa-de-atencao-primaria-a-saude-de-municipios-amapaenses/
MDB consegue superar meta e oferecer mais recursos para candidatas mulheres,5 de junho de 2023,https://www.mdb.org.br/mdb-consegue-superar-meta-e-oferecer-mais-recursos-para-candidatas-mulheres/
"Ex-secretário nacional Igualdade Racial, Juvenal Araújo se filia ao MDB",31 de maio de 2023,https://www.mdb.org.br/ex-secretario-nacional-igualdade-racial-juvenal-araujo-se-filia-ao-mdb/
